cliffs,false,false_rate,median_lead,noncliffs,repair_eligible,repair_mean_event_time_gain,repair_mean_risk_gain,seed,timely,timely_rate
15,0,0.0,2.0,15,True,2.066666666666667,0.09046153846153845,113,15,1.0
12,3,0.16666666666666666,2.0,18,False,0.0,0.0,127,12,1.0
15,0,0.0,3.0,15,True,1.0666666666666667,0.059794871794871786,139,15,1.0
15,0,0.0,3.0,15,True,1.3333333333333333,0.07451282051282053,151,15,1.0
15,0,0.0,4.0,15,True,1.2333333333333334,0.08538461538461538,163,14,0.9333333333333333
