trajectory_id,direction,replicate,crossing_time,ordered_slope_mean,shuffle_slope_mean,slope_difference,ordered_forecast_mean,shuffle_forecast_mean,forecast_difference,ordered_positive_slope_fraction,shuffle_positive_slope_fraction,positive_slope_fraction_difference,ordered_any_alarm,shuffle_any_alarm,any_alarm_difference,stationary_slope_mean,stationary_forecast_mean,stationary_positive_slope_fraction,stationary_any_alarm
mixed_gradient:event,mixed_gradient,0,14,0.007822236159597106,0.0009977528244510287,0.006824483335146078,0.2591025710239497,0.21769157541833897,0.041410995605610706,1.0,0.5808333333333333,0.4191666666666667,False,0.3541666666666667,-0.3541666666666667,-0.00012780152341238532,0.17119440018500814,0.6,False
mixed_gradient:event,mixed_gradient,1,14,0.006371187736487774,0.0006591606278305159,0.005712027108657258,0.2388676385588388,0.20549954604260606,0.03336809251623274,1.0,0.5458333333333333,0.4541666666666667,False,0.12083333333333333,-0.12083333333333333,-0.000493936763939947,0.1751574878468159,0.2,False
mixed_gradient:event,mixed_gradient,2,14,-0.0008582430029266171,-0.0003251484176324536,-0.0005330945852941635,0.1944507639977379,0.2009662172785917,-0.006515453280853817,0.4,0.47000000000000003,-0.07,False,0.058333333333333334,-0.058333333333333334,-0.0003825065309156799,0.17463124090356713,0.4,False
mixed_gradient:event,mixed_gradient,3,14,0.003924101329105278,0.0005745521356427663,0.0033495491934625115,0.22236407384829046,0.20338627116299518,0.01897780268529528,0.6,0.5658333333333334,0.03416666666666657,False,0.0,0.0,0.0016593192362386136,0.19657944934538768,0.6,False
mixed_gradient:event,mixed_gradient,4,14,0.004720882373965286,0.0009708135198100168,0.003750068854155269,0.21470790812756424,0.19573640444159732,0.018971503685966923,0.8,0.5566666666666666,0.2433333333333334,False,0.0625,-0.0625,0.0012701799215753846,0.1917092204876266,0.6,False
mixed_gradient:event,mixed_gradient,5,14,0.004713503192080949,0.0005360385505928305,0.004177464641488118,0.22451261276482123,0.20251924453650982,0.02199336822831141,0.8,0.5208333333333334,0.2791666666666667,False,0.1125,-0.1125,0.0041746405482630585,0.21014017727425224,1.0,False
mixed_gradient:event,mixed_gradient,6,14,0.010214916985821021,0.002036202525727226,0.008178714460093795,0.2726027901987905,0.22208515004178817,0.05051764015700236,1.0,0.6058333333333333,0.39416666666666667,True,0.9541666666666667,0.04583333333333328,0.0015989235947161042,0.18670858714151597,0.8,False
mixed_gradient:event,mixed_gradient,7,14,0.007363772182340929,0.0007810525336798309,0.006582719648661098,0.23932427965702674,0.2002421794975164,0.03908210015951033,1.0,0.55,0.44999999999999996,True,0.17083333333333334,0.8291666666666666,0.0001458823812523923,0.17077090948639265,0.4,False
mixed_gradient:event,mixed_gradient,8,14,0.0002889039394194829,0.0006874234471851796,-0.00039851950776569663,0.20924993685965224,0.20831729773652122,0.0009326391231310183,0.6,0.5366666666666667,0.06333333333333324,True,0.31666666666666665,0.6833333333333333,-0.002957179884964875,0.17180897500485323,0.2,False
mixed_gradient:event,mixed_gradient,9,14,0.003961253722938823,0.00012742077498132325,0.0038338329479575,0.22040909259232241,0.20007506361972557,0.02033402897259684,0.8,0.5066666666666666,0.29333333333333345,True,0.0875,0.9125,-0.0008441957800431502,0.17584919888587838,0.4,False
mixed_gradient:event,mixed_gradient,10,14,0.009568384213167167,-0.00016382227564174054,0.009732206488808908,0.26079144648778324,0.20880450865103853,0.05198693783674471,1.0,0.5075000000000001,0.49249999999999994,True,0.4666666666666667,0.5333333333333333,0.0029146767613197613,0.1902888328913312,1.0,False
mixed_gradient:event,mixed_gradient,11,14,0.006271540379781726,0.0009467322749848749,0.005324808104796851,0.23624329985421427,0.20853787669669,0.027705423157524278,1.0,0.5583333333333333,0.44166666666666665,True,0.325,0.675,-0.0013393293310157497,0.166535046926813,0.4,False
mixed_gradient:event,mixed_gradient,12,14,0.009985062407144139,0.00106411493147034,0.0089209474756738,0.26468348307403755,0.2125145056142402,0.052168977459797344,1.0,0.5808333333333333,0.4191666666666667,True,0.4625,0.5375,0.002115006918809879,0.19633192954199777,1.0,False
mixed_gradient:event,mixed_gradient,13,14,0.006089672715358904,0.0016448727525239634,0.00444479996283494,0.24039540048654562,0.21295571187448262,0.027439688612063,0.8,0.5916666666666667,0.20833333333333337,True,0.9166666666666666,0.08333333333333337,0.003864415865578475,0.20329911147323204,1.0,False
mixed_gradient:event,mixed_gradient,14,14,0.005696591105732276,0.0004486036425014078,0.0052479874632308686,0.2316413564525198,0.20520785685137152,0.02643349960114827,1.0,0.5358333333333334,0.4641666666666666,True,0.10416666666666667,0.8958333333333334,-0.0018902110691530836,0.16985477064688795,0.2,False
mixed_gradient:event,mixed_gradient,15,14,0.003386425682515677,0.0008226905582417642,0.002563735124273913,0.2142317604249948,0.20703798264274345,0.007193777782251359,0.8,0.5558333333333334,0.24416666666666664,False,0.15,-0.15,-0.001484862370774199,0.1684133903651528,0.2,False
mixed_gradient:event,mixed_gradient,16,14,0.0031323286789389287,0.00087268563322617,0.0022596430457127586,0.2149865182297505,0.20619586678186186,0.008790651447888653,1.0,0.5675,0.4325,True,0.18333333333333332,0.8166666666666667,-0.0001799798877022755,0.1784851491879757,0.4,False
mixed_gradient:event,mixed_gradient,17,14,0.0057833791877377975,0.0007941963132481651,0.004989182874489633,0.23979208592881324,0.2114374655297593,0.028354620399053926,1.0,0.5633333333333332,0.43666666666666676,True,0.4166666666666667,0.5833333333333333,0.00032099518050150754,0.18756372725302906,0.4,False
mixed_gradient:event,mixed_gradient,18,14,0.0032810650054650716,0.0007053746222165005,0.002575690383248571,0.2225148851336634,0.21494867436516815,0.007566210768495257,1.0,0.5658333333333334,0.4341666666666666,False,0.325,-0.325,-0.0030480991320368774,0.16790628055633655,0.0,False
mixed_gradient:event,mixed_gradient,19,14,0.002466293851486127,0.0005059073101290363,0.001960386541357091,0.20140929786720077,0.19518944755843393,0.006219850308766844,0.8,0.5575,0.24250000000000005,False,0.0,0.0,-8.12253592439971e-05,0.17713744174412127,0.4,False
mixed_gradient:event,mixed_gradient,20,14,0.005795766719117674,0.0003686237339425314,0.005427142985175143,0.24095797542025982,0.2124868905873904,0.02847108483286942,1.0,0.5241666666666667,0.47583333333333333,False,0.15833333333333333,-0.15833333333333333,0.00038901278076873286,0.186679907408118,0.6,False
mixed_gradient:event,mixed_gradient,21,14,0.005461746053041346,0.0012015766402863697,0.0042601694127549754,0.2213875182158645,0.1961720471250248,0.025215471090839686,1.0,0.5991666666666667,0.40083333333333326,False,0.15,-0.15,-0.0005962451579596583,0.17289984370560946,0.6,False
mixed_gradient:event,mixed_gradient,22,14,0.00485073706150413,0.0020609549788060543,0.0027897820826980756,0.22105005825271054,0.20577458163679577,0.015275476615914774,1.0,0.6083333333333333,0.3916666666666667,True,1.0,0.0,-0.0035112801007714097,0.1583799407002321,0.0,False
mixed_gradient:event,mixed_gradient,23,14,0.010913063250739602,0.0008973232770157154,0.010015739973723885,0.25897061464926,0.20054263205306996,0.05842798259619006,1.0,0.5558333333333334,0.4441666666666666,True,0.44583333333333336,0.5541666666666667,-0.00044199765066286583,0.18059057639211346,0.4,False
mixed_gradient:event,mixed_gradient,24,14,0.005074574238102511,0.0005674111486427177,0.0045071630894597935,0.22454265724332592,0.19947229798721663,0.025070359256109287,1.0,0.5716666666666668,0.42833333333333323,False,0.0,0.0,0.0015177375126567136,0.1865264201017462,0.8,False
mixed_gradient:event,mixed_gradient,25,14,0.007554726073263596,0.001717623636753106,0.00583710243651049,0.2548967490365217,0.2223607371087074,0.0325360119278143,1.0,0.5866666666666667,0.41333333333333333,True,0.925,0.07499999999999996,0.00023966934175152126,0.19093104648232098,0.6,False
mixed_gradient:event,mixed_gradient,26,14,0.006018957017639485,0.0002345347871685896,0.005784422230470895,0.24068735653933349,0.20675629070117715,0.03393106583815633,0.8,0.5366666666666667,0.2633333333333333,True,0.1625,0.8375,0.0006596228298475402,0.18013309609154157,0.4,False
