baseline_risk,eligible,endpoint_risk,event,false_alarm,family,flow_residual,forward,hybrid25_alarm,max_closure_error,recovery,risk,schedule_id,seed,timely
0.22,True,0.36,,False,6,"[-1.0408340855860843e-17,1.0408340855860843e-17,0.0,-1.0408340855860843e-17,3.469446951953614e-17,-2.0816681711721685e-17,1.734723475976807e-17,-3.8163916471489756e-17,0.0,0.0,0.0,0.0]","[1,0,3,1,2,2,1,1,0,0,0,0]",,3.8163916471489756e-17,"[0,1,3,0,0,0,0,0,0,0,0,0]","[0.22,0.24,0.22,0.22,0.24,0.28,0.32,0.34,0.36,0.36,0.36,0.36,0.36]",227,127,False
0.32,True,0.34,,False,11,"[-1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-17,0.0,1.734723475976807e-17]","[0,0,0,0,0,0,0,0,0,1,0,1]",,1.734723475976807e-17,"[1,0,0,0,0,0,0,0,0,0,0,0]","[0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.32,0.32,0.34]",227,127,False
0.32,True,0.36,,False,12,"[-1.734723475976807e-17,0.0,1.734723475976807e-17,0.0,-1.734723475976807e-17,0.0,1.734723475976807e-17,0.0,0.0,-2.0816681711721685e-17,0.0,0.0]","[0,0,1,0,0,0,1,0,0,2,0,0]",,2.0816681711721685e-17,"[1,0,0,0,1,0,0,0,0,0,0,0]","[0.32,0.3,0.3,0.32,0.32,0.3,0.3,0.32,0.32,0.32,0.36,0.36,0.36]",227,127,False
0.32,True,0.56,7,False,13,"[1.734723475976807e-17,-3.8163916471489756e-17,1.734723475976807e-17,-2.0816681711721685e-17,1.734723475976807e-17,-2.0816681711721685e-17,1.734723475976807e-17,5.551115123125783e-17,-9.367506770274758e-17,1.734723475976807e-17,-1.734723475976807e-17,9.367506770274758e-17]","[1,2,1,2,1,2,1,3,1,1,0,1]",5,9.367506770274758e-17,"[0,1,0,0,0,0,0,0,0,0,1,2]","[0.32,0.34,0.36,0.38,0.42,0.44,0.48,0.5,0.56,0.58,0.6,0.58,0.56]",227,127,True
0.32,True,0.88,2,False,14,"[0.0,-5.551115123125783e-17,0.0,1.734723475976807e-17,3.469446951953614e-17,-5.551115123125783e-17,0.0,0.0,0.0,6.938893903907228e-17,0.0,-1.734723475976807e-17]","[7,6,7,1,2,3,0,1,1,5,0,1]",1,6.938893903907228e-17,"[0,0,1,0,0,0,0,1,1,1,0,2]","[0.32,0.46,0.58,0.7,0.72,0.76,0.82,0.82,0.82,0.82,0.9,0.9,0.88]",227,127,True
0.32,True,0.42,,False,15,"[-2.0816681711721685e-17,0.0,0.0,1.734723475976807e-17,-1.734723475976807e-17,1.734723475976807e-17,0.0,1.734723475976807e-17,-1.734723475976807e-17,0.0,1.734723475976807e-17,-3.8163916471489756e-17]","[3,0,2,1,0,2,0,1,0,0,1,2]",,3.8163916471489756e-17,"[1,0,2,0,1,1,0,0,1,0,0,1]","[0.32,0.36,0.36,0.36,0.38,0.36,0.38,0.38,0.4,0.38,0.38,0.4,0.42]",227,127,False
0.32,True,0.76,7,False,16,"[0.0,-2.0816681711721685e-17,1.734723475976807e-17,0.0,-1.734723475976807e-17,3.469446951953614e-17,1.3877787807814457e-17,1.734723475976807e-17,-5.551115123125783e-17,1.734723475976807e-17,-4.163336342344337e-17,3.469446951953614e-17]","[1,2,1,3,1,3,4,2,3,1,4,4]",1,5.551115123125783e-17,"[1,0,0,0,2,1,0,1,0,0,0,2]","[0.32,0.32,0.36,0.38,0.44,0.42,0.46,0.54,0.56,0.62,0.64,0.72,0.76]",227,127,True
0.32,True,0.42,,True,17,"[0.0,1.734723475976807e-17,0.0,-1.734723475976807e-17,2.0816681711721685e-17,0.0,-3.469446951953614e-17,3.469446951953614e-17,0.0,0.0,-3.8163916471489756e-17,0.0]","[5,2,6,0,1,0,0,3,0,2,1,0]",1,3.8163916471489756e-17,"[2,1,0,1,3,0,2,1,0,2,0,3]","[0.32,0.38,0.4,0.52,0.5,0.46,0.46,0.42,0.46,0.46,0.46,0.48,0.42]",227,127,False
0.32,True,0.86,3,False,18,"[-2.0816681711721685e-17,1.3877787807814457e-17,2.7755575615628914e-17,-4.163336342344337e-17,0.0,3.469446951953614e-17,1.734723475976807e-17,-2.7755575615628914e-17,0.0,-7.632783294297951e-17,3.469446951953614e-17,0.0]","[4,4,5,4,1,2,3,6,1,2,3,2]",1,7.632783294297951e-17,"[2,0,0,0,1,0,2,1,1,0,1,2]","[0.32,0.36,0.44,0.54,0.62,0.62,0.66,0.68,0.78,0.78,0.82,0.86,0.86]",227,127,True
0.16,True,0.2,,False,2,"[-1.0408340855860843e-17,0.0,0.0,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[1,0,1,0,1,0,0,0,0,0,0,0]",,1.734723475976807e-17,"[0,0,1,0,0,0,0,0,0,0,0,0]","[0.16,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2]",211,139,False
0.16,True,0.26,,False,6,"[-6.938893903907228e-18,0.0,6.938893903907228e-18,0.0,6.938893903907228e-18,0.0,-1.0408340855860843e-17,-1.0408340855860843e-17,0.0,0.0,0.0,1.734723475976807e-17]","[0,1,2,0,2,1,1,1,0,0,0,1]",,1.734723475976807e-17,"[2,1,0,0,0,1,0,0,0,0,0,0]","[0.16,0.12,0.12,0.16,0.16,0.2,0.2,0.22,0.24,0.24,0.24,0.24,0.26]",211,139,False
0.22,True,0.22,,False,11,"[0.0,0.0,0.0,0.0,1.0408340855860843e-17,0.0,0.0,-1.0408340855860843e-17,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,1,0,0,0,0]",,1.0408340855860843e-17,"[0,0,0,0,1,0,0,0,0,0,0,0]","[0.22,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.22]",211,139,False
0.22,True,0.22,,False,12,"[1.0408340855860843e-17,0.0,-1.734723475976807e-17,1.734723475976807e-17,0.0,0.0,-1.734723475976807e-17,0.0,1.0408340855860843e-17,6.938893903907228e-18,0.0,-1.0408340855860843e-17]","[0,0,0,1,1,0,0,0,0,2,0,1]",,1.734723475976807e-17,"[1,0,1,0,1,0,1,0,1,0,0,0]","[0.22,0.2,0.2,0.18,0.2,0.2,0.2,0.18,0.18,0.16,0.2,0.2,0.22]",211,139,False
0.22,True,0.5,7,False,13,"[0.0,6.938893903907228e-18,-1.734723475976807e-17,3.469446951953614e-17,-2.7755575615628914e-17,1.3877787807814457e-17,1.3877787807814457e-17,1.734723475976807e-17,-7.632783294297951e-17,-1.734723475976807e-17,9.367506770274758e-17,-5.551115123125783e-17]","[1,3,1,2,5,4,4,2,2,0,0,0]",4,9.367506770274758e-17,"[1,1,2,0,0,0,0,1,0,1,1,3]","[0.22,0.22,0.26,0.24,0.28,0.38,0.46,0.54,0.56,0.6,0.58,0.56,0.5]",211,139,True
0.22,True,0.86,2,False,14,"[-2.7755575615628914e-17,5.551115123125783e-17,0.0,-4.163336342344337e-17,3.469446951953614e-17,-7.632783294297951e-17,7.632783294297951e-17,0.0,-5.551115123125783e-17,-3.469446951953614e-17,1.734723475976807e-17,1.734723475976807e-17]","[7,9,7,4,2,2,0,0,3,0,1,2]",1,7.632783294297951e-17,"[0,0,0,0,0,0,2,0,0,2,0,1]","[0.22,0.36,0.54,0.68,0.76,0.8,0.84,0.8,0.8,0.86,0.82,0.84,0.86]",211,139,True
0.22,True,0.3,,False,15,"[-1.0408340855860843e-17,3.469446951953614e-17,0.0,-3.469446951953614e-17,3.469446951953614e-17,0.0,0.0,0.0,0.0,0.0,-1.734723475976807e-17,-1.734723475976807e-17]","[2,4,2,0,2,1,0,1,0,3,0,0]",,3.469446951953614e-17,"[1,2,2,2,0,1,0,1,0,0,1,1]","[0.22,0.24,0.28,0.28,0.24,0.28,0.28,0.28,0.28,0.28,0.34,0.32,0.3]",211,139,False
0.22,True,0.78,8,False,16,"[6.938893903907228e-18,0.0,-1.734723475976807e-17,1.734723475976807e-17,-2.0816681711721685e-17,3.469446951953614e-17,-2.0816681711721685e-17,1.3877787807814457e-17,3.469446951953614e-17,-7.632783294297951e-17,-2.7755575615628914e-17,6.938893903907228e-17]","[3,3,1,1,3,2,2,4,3,2,5,5]",1,7.632783294297951e-17,"[1,0,2,0,1,0,0,0,1,0,0,1]","[0.22,0.26,0.32,0.3,0.32,0.36,0.4,0.44,0.52,0.56,0.6,0.7,0.78]",211,139,True
0.22,True,0.62,9,False,17,"[2.7755575615628914e-17,0.0,0.0,-3.8163916471489756e-17,2.0816681711721685e-17,-1.734723475976807e-17,1.734723475976807e-17,0.0,0.0,3.469446951953614e-17,-5.551115123125783e-17,1.734723475976807e-17]","[4,4,4,1,0,0,1,3,3,2,3,2]",1,5.551115123125783e-17,"[1,1,1,0,2,1,0,0,0,0,0,1]","[0.22,0.28,0.34,0.4,0.42,0.38,0.36,0.38,0.44,0.5,0.54,0.6,0.62]",211,139,True
0.22,True,0.9,3,False,18,"[6.938893903907228e-18,0.0,1.3877787807814457e-17,-4.163336342344337e-17,0.0,5.551115123125783e-17,-7.632783294297951e-17,3.469446951953614e-17,-1.734723475976807e-17,6.938893903907228e-17,-9.367506770274758e-17,6.938893903907228e-17]","[4,9,5,4,2,3,3,2,1,4,1,4]",1,9.367506770274758e-17,"[2,0,1,0,2,0,1,0,2,0,0,0]","[0.22,0.26,0.44,0.52,0.6,0.6,0.66,0.7,0.74,0.72,0.8,0.82,0.9]",211,139,True
0.16,True,0.2,,False,2,"[0.0,-1.0408340855860843e-17,0.0,0.0,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0]","[1,1,0,0,0,1,0,0,0,0,0,0]",,1.734723475976807e-17,"[1,0,0,0,0,0,0,0,0,0,0,0]","[0.16,0.16,0.18,0.18,0.18,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2]",223,139,False
0.16,True,0.26,,False,6,"[1.0408340855860843e-17,-2.0816681711721685e-17,1.0408340855860843e-17,-1.0408340855860843e-17,1.734723475976807e-17,0.0,-1.0408340855860843e-17,0.0,-1.0408340855860843e-17,1.734723475976807e-17,0.0,0.0]","[0,3,0,1,2,0,1,0,1,1,0,0]",,2.0816681711721685e-17,"[1,1,1,0,1,0,0,0,0,0,0,0]","[0.16,0.14,0.18,0.16,0.18,0.2,0.2,0.22,0.22,0.24,0.26,0.26,0.26]",223,139,False
0.22,True,0.22,,False,11,"[0.0,0.0,0.0,0.0,0.0,1.0408340855860843e-17,0.0,0.0,-1.0408340855860843e-17,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,1,0,0,0]",,1.0408340855860843e-17,"[0,0,0,0,0,1,0,0,0,0,0,0]","[0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.22,0.22,0.22,0.22]",223,139,False
0.22,True,0.22,,False,12,"[0.0,1.0408340855860843e-17,-1.734723475976807e-17,1.0408340855860843e-17,0.0,6.938893903907228e-18,-1.734723475976807e-17,0.0,1.0408340855860843e-17,0.0,6.938893903907228e-18,-1.0408340855860843e-17]","[0,0,0,0,0,2,0,0,0,0,2,1]",,1.734723475976807e-17,"[0,1,1,1,0,0,1,0,1,0,0,0]","[0.22,0.22,0.2,0.18,0.16,0.16,0.2,0.18,0.18,0.16,0.16,0.2,0.22]",223,139,False
0.22,True,0.5,7,False,13,"[-1.0408340855860843e-17,0.0,0.0,3.469446951953614e-17,-2.7755575615628914e-17,1.3877787807814457e-17,-2.0816681711721685e-17,3.469446951953614e-17,-5.551115123125783e-17,-1.734723475976807e-17,7.632783294297951e-17,-3.469446951953614e-17]","[2,2,1,2,5,4,2,3,3,0,0,0]",5,7.632783294297951e-17,"[1,2,1,0,0,0,0,1,0,1,2,2]","[0.22,0.24,0.24,0.24,0.28,0.38,0.46,0.5,0.54,0.6,0.58,0.54,0.5]",223,139,True
0.22,True,0.86,2,False,14,"[-2.7755575615628914e-17,5.551115123125783e-17,0.0,-4.163336342344337e-17,1.734723475976807e-17,-5.551115123125783e-17,-1.734723475976807e-17,1.734723475976807e-17,1.734723475976807e-17,0.0,-1.734723475976807e-17,1.734723475976807e-17]","[7,10,6,4,1,3,1,1,1,1,0,2]",1,5.551115123125783e-17,"[0,0,0,0,0,0,2,0,0,1,1,1]","[0.22,0.36,0.56,0.68,0.76,0.78,0.84,0.82,0.84,0.86,0.86,0.84,0.86]",223,139,True
0.22,True,0.3,,False,15,"[-1.0408340855860843e-17,1.0408340855860843e-17,2.7755575615628914e-17,0.0,-1.734723475976807e-17,1.734723475976807e-17,0.0,0.0,0.0,0.0,-3.8163916471489756e-17,0.0]","[2,1,5,1,1,1,0,0,1,1,1,1]",,3.8163916471489756e-17,"[1,2,2,1,2,0,0,0,1,1,0,1]","[0.22,0.24,0.22,0.28,0.28,0.26,0.28,0.28,0.28,0.28,0.28,0.3,0.3]",223,139,False
0.22,True,0.78,8,False,16,"[6.938893903907228e-18,1.734723475976807e-17,-3.8163916471489756e-17,3.8163916471489756e-17,0.0,0.0,-3.8163916471489756e-17,5.551115123125783e-17,1.734723475976807e-17,0.0,-7.632783294297951e-17,5.551115123125783e-17]","[2,3,2,0,3,3,2,6,1,6,2,4]",1,7.632783294297951e-17,"[0,2,1,1,0,0,1,0,0,0,0,1]","[0.22,0.26,0.28,0.3,0.28,0.34,0.4,0.42,0.54,0.56,0.68,0.72,0.78]",223,139,True
0.22,True,0.62,9,False,17,"[2.7755575615628914e-17,-4.163336342344337e-17,3.469446951953614e-17,-1.734723475976807e-17,0.0,-1.734723475976807e-17,0.0,0.0,1.734723475976807e-17,1.734723475976807e-17,1.734723475976807e-17,-4.163336342344337e-17]","[4,4,4,0,1,0,3,3,1,2,1,4]",1,4.163336342344337e-17,"[1,0,2,1,1,1,0,0,0,1,0,0]","[0.22,0.28,0.36,0.4,0.38,0.38,0.36,0.42,0.48,0.5,0.52,0.54,0.62]",223,139,True
0.22,True,0.9,3,False,18,"[0.0,0.0,0.0,1.734723475976807e-17,-5.551115123125783e-17,5.551115123125783e-17,-4.163336342344337e-17,-1.734723475976807e-17,0.0,6.938893903907228e-17,-5.551115123125783e-17,3.469446951953614e-17]","[6,8,4,3,3,3,5,0,1,4,3,2]",2,6.938893903907228e-17,"[1,1,1,2,0,0,1,1,1,0,0,0]","[0.22,0.32,0.46,0.52,0.54,0.6,0.66,0.74,0.72,0.72,0.8,0.86,0.9]",223,139,True
0.16,True,0.2,,False,2,"[0.0,0.0,-1.0408340855860843e-17,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,1,1,0,1,0,0,0,0,0,0,0]",,1.734723475976807e-17,"[0,1,0,0,0,0,0,0,0,0,0,0]","[0.16,0.16,0.16,0.18,0.18,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2]",227,139,False
0.16,True,0.26,,False,6,"[6.938893903907228e-18,-1.734723475976807e-17,1.0408340855860843e-17,0.0,6.938893903907228e-18,0.0,-1.0408340855860843e-17,-1.0408340855860843e-17,0.0,1.734723475976807e-17,0.0,0.0]","[2,0,1,0,2,1,1,1,0,1,0,0]",,1.734723475976807e-17,"[0,1,2,0,0,1,0,0,0,0,0,0]","[0.16,0.2,0.18,0.16,0.16,0.2,0.2,0.22,0.24,0.24,0.26,0.26,0.26]",227,139,False
0.22,True,0.22,,False,11,"[0.0,0.0,0.0,0.0,0.0,1.0408340855860843e-17,0.0,0.0,-1.0408340855860843e-17,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,1,0,0,0]",,1.0408340855860843e-17,"[0,0,0,0,0,1,0,0,0,0,0,0]","[0.22,0.22,0.22,0.22,0.22,0.22,0.2,0.2,0.2,0.22,0.22,0.22,0.22]",227,139,False
0.22,True,0.22,,False,12,"[-6.938893903907228e-18,0.0,0.0,0.0,0.0,1.734723475976807e-17,-1.734723475976807e-17,1.0408340855860843e-17,0.0,6.938893903907228e-18,-1.0408340855860843e-17,0.0]","[0,0,0,1,0,1,0,0,0,2,1,0]",,1.734723475976807e-17,"[2,0,0,1,0,0,1,1,0,0,0,0]","[0.22,0.18,0.18,0.18,0.18,0.18,0.2,0.18,0.16,0.16,0.2,0.22,0.22]",227,139,False
0.22,True,0.5,7,False,13,"[-1.0408340855860843e-17,3.469446951953614e-17,-3.469446951953614e-17,1.3877787807814457e-17,0.0,0.0,-2.0816681711721685e-17,-4.163336342344337e-17,1.734723475976807e-17,-1.734723475976807e-17,9.367506770274758e-17,-5.551115123125783e-17]","[2,2,1,4,0,7,3,4,1,0,0,0]",4,9.367506770274758e-17,"[1,0,3,0,0,0,1,0,0,1,1,3]","[0.22,0.24,0.28,0.24,0.32,0.32,0.46,0.5,0.58,0.6,0.58,0.56,0.5]",227,139,True
0.22,True,0.86,2,False,14,"[-2.7755575615628914e-17,5.551115123125783e-17,0.0,-7.632783294297951e-17,1.734723475976807e-17,-2.7755575615628914e-17,1.734723475976807e-17,1.734723475976807e-17,-1.734723475976807e-17,5.551115123125783e-17,-1.734723475976807e-17,-3.469446951953614e-17]","[7,10,6,2,1,5,2,1,0,3,0,0]",1,7.632783294297951e-17,"[0,0,0,0,0,0,1,0,1,0,1,2]","[0.22,0.36,0.56,0.68,0.72,0.74,0.84,0.86,0.88,0.86,0.92,0.9,0.86]",227,139,True
0.22,True,0.3,,False,15,"[0.0,6.938893903907228e-18,1.734723475976807e-17,-2.0816681711721685e-17,-1.734723475976807e-17,3.8163916471489756e-17,0.0,0.0,0.0,0.0,-3.8163916471489756e-17,0.0]","[3,2,3,2,0,1,0,0,1,1,1,1]",,3.8163916471489756e-17,"[3,0,2,0,1,2,0,0,1,1,0,1]","[0.22,0.22,0.26,0.28,0.32,0.3,0.28,0.28,0.28,0.28,0.28,0.3,0.3]",227,139,False
0.22,True,0.78,9,False,16,"[2.7755575615628914e-17,0.0,-3.469446951953614e-17,1.734723475976807e-17,1.734723475976807e-17,0.0,0.0,-3.8163916471489756e-17,6.938893903907228e-17,0.0,0.0,-2.7755575615628914e-17]","[3,4,0,1,2,3,3,2,4,1,6,5]",1,6.938893903907228e-17,"[0,1,2,0,1,0,0,1,0,1,0,0]","[0.22,0.28,0.34,0.3,0.32,0.34,0.4,0.46,0.48,0.56,0.56,0.68,0.78]",227,139,True
0.22,True,0.62,9,False,17,"[-1.0408340855860843e-17,3.469446951953614e-17,0.0,0.0,-3.469446951953614e-17,0.0,3.469446951953614e-17,-2.0816681711721685e-17,0.0,5.551115123125783e-17,-4.163336342344337e-17,-1.734723475976807e-17]","[3,3,6,1,0,0,2,2,3,3,4,0]",1,5.551115123125783e-17,"[2,1,0,1,2,0,0,0,0,0,0,1]","[0.22,0.24,0.28,0.4,0.4,0.36,0.36,0.4,0.44,0.5,0.56,0.64,0.62]",227,139,True
0.22,True,0.9,3,False,18,"[1.0408340855860843e-17,0.0,0.0,0.0,1.734723475976807e-17,0.0,1.734723475976807e-17,-7.632783294297951e-17,0.0,3.469446951953614e-17,-5.551115123125783e-17,6.938893903907228e-17]","[2,6,10,6,2,1,2,3,1,2,3,4]",1,7.632783294297951e-17,"[3,0,0,0,1,1,1,1,1,0,0,0]","[0.22,0.2,0.32,0.52,0.64,0.66,0.66,0.68,0.72,0.72,0.76,0.82,0.9]",227,139,True
0.12,True,0.18,,False,2,"[1.734723475976807e-17,0.0,-1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-17]","[1,0,1,0,0,0,0,0,0,0,0,1]",,1.734723475976807e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.12,0.14,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.18]",211,151,False
0.12,True,0.28,,False,6,"[1.0408340855860843e-17,0.0,6.938893903907228e-18,-1.0408340855860843e-17,6.938893903907228e-18,-1.0408340855860843e-17,0.0,-1.0408340855860843e-17,0.0,0.0,1.734723475976807e-17,1.734723475976807e-17]","[1,1,2,1,2,1,0,1,0,0,1,1]",,1.734723475976807e-17,"[2,1,0,0,0,0,0,0,0,0,0,0]","[0.12,0.1,0.1,0.14,0.16,0.2,0.22,0.22,0.24,0.24,0.24,0.26,0.28]",211,151,False
0.28,True,0.28,,False,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0]",,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28]",211,151,False
0.28,True,0.28,,False,12,"[-1.734723475976807e-17,0.0,-1.734723475976807e-17,1.734723475976807e-17,0.0,0.0,-1.734723475976807e-17,0.0,1.734723475976807e-17,-2.0816681711721685e-17,0.0,3.8163916471489756e-17]","[0,0,0,1,0,0,0,0,1,2,0,0]",,3.8163916471489756e-17,"[1,0,1,0,0,0,1,0,0,0,0,1]","[0.28,0.26,0.26,0.24,0.26,0.26,0.26,0.24,0.24,0.26,0.3,0.3,0.28]",211,151,False
0.28,True,0.56,7,False,13,"[-3.8163916471489756e-17,3.8163916471489756e-17,0.0,-3.8163916471489756e-17,2.7755575615628914e-17,0.0,-2.0816681711721685e-17,3.469446951953614e-17,1.734723475976807e-17,-1.734723475976807e-17,0.0,1.734723475976807e-17]","[1,0,1,2,5,3,2,2,2,0,0,1]",4,3.8163916471489756e-17,"[0,1,1,1,0,0,0,0,1,1,0,0]","[0.28,0.3,0.28,0.28,0.3,0.4,0.46,0.5,0.54,0.56,0.54,0.54,0.56]",211,151,True
0.28,True,0.9,2,False,14,"[-2.7755575615628914e-17,5.551115123125783e-17,0.0,-2.7755575615628914e-17,0.0,-2.7755575615628914e-17,0.0,0.0,0.0,-3.469446951953614e-17,1.734723475976807e-17,3.469446951953614e-17]","[5,9,6,5,0,5,0,0,0,0,1,2]",1,5.551115123125783e-17,"[0,0,0,0,0,0,0,0,0,2,0,0]","[0.28,0.38,0.56,0.68,0.78,0.78,0.88,0.88,0.88,0.88,0.84,0.86,0.9]",211,151,True
0.28,True,0.32,,False,15,"[-2.0816681711721685e-17,1.734723475976807e-17,-3.469446951953614e-17,3.8163916471489756e-17,-3.8163916471489756e-17,0.0,2.0816681711721685e-17,1.734723475976807e-17,0.0,-3.8163916471489756e-17,0.0,1.734723475976807e-17]","[3,1,0,1,1,1,0,1,0,1,0,1]",,3.8163916471489756e-17,"[1,0,2,2,0,1,2,0,0,0,0,0]","[0.28,0.32,0.34,0.3,0.28,0.3,0.3,0.26,0.28,0.28,0.3,0.3,0.32]",211,151,False
0.28,True,0.78,6,False,16,"[-4.163336342344337e-17,3.469446951953614e-17,-1.734723475976807e-17,0.0,-2.7755575615628914e-17,5.551115123125783e-17,1.734723475976807e-17,-5.551115123125783e-17,-4.163336342344337e-17,3.469446951953614e-17,1.734723475976807e-17,1.734723475976807e-17]","[4,3,1,0,5,3,1,4,4,2,1,2]",1,5.551115123125783e-17,"[0,1,2,0,0,0,0,1,0,0,0,1]","[0.28,0.36,0.4,0.38,0.38,0.48,0.54,0.56,0.62,0.7,0.74,0.76,0.78]",211,151,True
0.28,True,0.54,10,False,17,"[-2.0816681711721685e-17,1.3877787807814457e-17,0.0,-1.734723475976807e-17,0.0,2.0816681711721685e-17,-3.8163916471489756e-17,0.0,1.734723475976807e-17,0.0,1.734723475976807e-17,1.734723475976807e-17]","[3,5,5,0,0,2,2,3,2,4,1,1]",1,3.8163916471489756e-17,"[1,1,2,1,3,4,1,0,1,1,0,0]","[0.28,0.32,0.4,0.46,0.44,0.38,0.34,0.36,0.42,0.44,0.5,0.52,0.54]",211,151,True
0.28,True,0.92,4,False,18,"[-3.8163916471489756e-17,0.0,0.0,-2.7755575615628914e-17,5.551115123125783e-17,3.469446951953614e-17,-5.551115123125783e-17,3.469446951953614e-17,1.734723475976807e-17,-7.632783294297951e-17,1.734723475976807e-17,5.551115123125783e-17]","[3,6,4,5,3,3,4,2,1,2,1,3]",1,7.632783294297951e-17,"[2,0,1,0,0,1,1,0,0,0,0,0]","[0.28,0.3,0.42,0.48,0.58,0.64,0.68,0.74,0.78,0.8,0.84,0.86,0.92]",211,151,True
0.12,True,0.18,,False,2,"[1.734723475976807e-17,-1.0408340855860843e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0408340855860843e-17,0.0,0.0]","[1,1,0,0,0,0,0,0,0,1,0,0]",,1.734723475976807e-17,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.12,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.18,0.18,0.18]",223,151,False
0.12,True,0.28,,False,6,"[0.0,6.938893903907228e-18,1.0408340855860843e-17,-1.0408340855860843e-17,6.938893903907228e-18,-1.0408340855860843e-17,-1.0408340855860843e-17,0.0,0.0,3.469446951953614e-17,0.0,0.0]","[1,3,0,1,2,1,1,0,0,2,0,0]",,3.469446951953614e-17,"[1,1,1,0,0,0,0,0,0,0,0,0]","[0.12,0.12,0.16,0.14,0.16,0.2,0.22,0.24,0.24,0.24,0.28,0.28,0.28]",223,151,False
0.28,True,0.28,,False,11,"[0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]","[0,0,0,0,0,0,0,0,0,0,0,0]",,0.0,"[0,0,0,0,0,0,0,0,0,0,0,0]","[0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28]",223,151,False
0.28,True,0.28,,False,12,"[0.0,0.0,-3.469446951953614e-17,0.0,0.0,1.734723475976807e-17,0.0,0.0,0.0,0.0,0.0,1.734723475976807e-17]","[0,0,0,0,0,1,0,0,1,0,0,2]",,3.469446951953614e-17,"[0,0,2,0,0,0,0,0,1,0,0,1]","[0.28,0.28,0.28,0.24,0.24,0.24,0.26,0.26,0.26,0.26,0.26,0.26,0.28]",223,151,False
0.28,True,0.56,8,False,13,"[-3.8163916471489756e-17,3.8163916471489756e-17,0.0,-2.0816681711721685e-17,0.0,1.3877787807814457e-17,0.0,0.0,3.469446951953614e-17,0.0,0.0,0.0]","[1,0,1,2,4,4,1,3,2,1,0,0]",5,3.8163916471489756e-17,"[0,1,1,0,1,0,1,0,0,1,0,0]","[0.28,0.3,0.28,0.28,0.32,0.38,0.46,0.46,0.52,0.56,0.56,0.56,0.56]",223,151,True
0.28,True,0.9,2,False,14,"[-5.551115123125783e-17,-2.7755575615628914e-17,8.326672684688674e-17,-4.163336342344337e-17,3.469446951953614e-17,-4.163336342344337e-17,0.0,0.0,0.0,0.0,-1.734723475976807e-17,3.469446951953614e-17]","[7,8,5,4,2,4,0,0,0,1,0,2]",1,8.326672684688674e-17,"[0,0,0,0,0,0,0,0,0,1,1,0]","[0.28,0.42,0.58,0.68,0.76,0.8,0.88,0.88,0.88,0.88,0.88,0.86,0.9]",223,151,True
0.28,True,0.32,,False,15,"[-3.8163916471489756e-17,0.0,0.0,1.734723475976807e-17,0.0,-2.0816681711721685e-17,3.8163916471489756e-17,-3.8163916471489756e-17,3.8163916471489756e-17,-3.8163916471489756e-17,1.734723475976807e-17,0.0]","[2,0,2,1,0,2,0,1,0,1,1,0]",,3.8163916471489756e-17,"[1,0,2,0,3,0,1,0,1,0,0,0]","[0.28,0.3,0.3,0.3,0.32,0.26,0.3,0.28,0.3,0.28,0.3,0.32,0.32]",223,151,False
