regime,n,tau_mean,tau_sd,b_norm_mean,b_norm_sd,H_frobenius_mean,H_frobenius_sd,risk_surface_cv_r2_mean,risk_surface_cv_r2_sd,Q_trace_mean,Q_trace_sd,Q_risk_null_ratio_mean,Q_risk_null_ratio_sd,Q_risk_coordinate_variance_per_sample_mean,Q_risk_coordinate_variance_per_sample_sd,Q_risk_directed_information_mean,Q_risk_directed_information_sd
support_depleted,5,0.2769338026742301,0.02353123329113356,1.0998911317264013,0.10349461889748407,1.8141514148948708,1.0109805549240238,0.9610560300585099,0.005699789386470635,154.5587188472499,1.6927199576773695,0.05642415423550161,0.012884682921685004,0.009768073410039404,0.0024427550693411426,108.03189089789673,28.56840098068931
baseline,5,0.21989110615883306,0.04070085663958448,1.0555165819445158,0.1469419815871389,2.420088968879075,1.743764365026714,0.9515666175754015,0.00829317232442896,155.78542816773398,2.655095783641456,0.040984823912737486,0.008994966576504957,0.00968047166667221,0.00431978949434371,115.85920509806385,36.094490441925906
random_broad,5,0.008925131685575365,0.009294696254419945,0.045347626860462474,0.04557947865203587,0.27421557483408243,0.13159568971978852,0.15032419027287164,0.20318178031232734,143.29641808801202,3.1388736086291584,0.19677189574948517,0.1364623333756631,3.488615509453649e-05,5.0882719157695775e-05,194096.7550287983,295104.5301228378
cliff_aware,5,0.0012197427066450567,0.002164280142722687,0.005254796410898588,0.0036517111341572662,0.09225462871194637,0.05915800253039236,-0.060078795021541384,0.10838533862546804,134.78268603013933,0.5324388279339664,0.19858331881135738,0.27015806694573685,1.8807987684201601e-06,3.5296346050754326e-06,3665788.3196859844,2699011.573534952
