variant,method,id,seed,schedule_id,family,event,static_timely,variant_timely,static_false,variant_false,timely_gain,false_gain
static_plus_net,Static + net prediction-state transport,confirmation|127|227|13,127,227,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|227|14,127,227,14,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|227|15,127,227,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|227|16,127,227,16,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|227|17,127,227,17,,False,False,True,True,0,0
static_plus_net,Static + net prediction-state transport,confirmation|127|227|18,127,227,18,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|2,139,211,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|6,139,211,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|11,139,211,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|12,139,211,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|13,139,211,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|14,139,211,14,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|15,139,211,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|16,139,211,16,8.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|17,139,211,17,9.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|211|18,139,211,18,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|2,139,223,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|6,139,223,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|11,139,223,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|12,139,223,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|13,139,223,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|14,139,223,14,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|15,139,223,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|16,139,223,16,8.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|17,139,223,17,9.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|223|18,139,223,18,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|2,139,227,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|6,139,227,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|11,139,227,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|12,139,227,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|13,139,227,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|14,139,227,14,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|15,139,227,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|16,139,227,16,9.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|17,139,227,17,9.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|139|227|18,139,227,18,3.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|2,151,211,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|6,151,211,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|11,151,211,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|12,151,211,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|13,151,211,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|14,151,211,14,2.0,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|15,151,211,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|16,151,211,16,6.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|17,151,211,17,10.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|211|18,151,211,18,4.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|2,151,223,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|6,151,223,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|11,151,223,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|12,151,223,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|13,151,223,13,8.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|14,151,223,14,2.0,False,True,False,False,1,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|15,151,223,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|16,151,223,16,6.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|17,151,223,17,12.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|223|18,151,223,18,4.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|2,151,227,2,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|6,151,227,6,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|11,151,227,11,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|12,151,227,12,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|13,151,227,13,7.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|14,151,227,14,2.0,True,True,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|15,151,227,15,,False,False,False,False,0,0
static_plus_net,Static + net prediction-state transport,confirmation|151|227|16,151,227,16,6.0,True,True,False,False,0,0
