C,threshold,timely_rate,false_rate,median_lead,timely,false,cliffs,controls
0.03,0.794215897867477,0.6521739130434783,0.07407407407407407,5.0,45,6,69,81
0.1,0.7732270050851122,0.6521739130434783,0.07407407407407407,5.0,45,6,69,81
0.3,0.7786612114568766,0.6521739130434783,0.07407407407407407,5.0,45,6,69,81
1.0,0.8193971691525357,0.6376811594202898,0.07407407407407407,4.5,44,6,69,81
3.0,0.8371457780039254,0.6376811594202898,0.07407407407407407,4.0,44,6,69,81
