domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse,incorrect_rmse,focal_delta_rms,focal_delta_mae,peer_nrmse_rms,peer_rmse_over_mae
CIFAR-10-C,31,47,severity,defocus_blur,0.3238,0.3347,True,True,3.273069708340169e-17,0.0067458135165449,0.06980830896103986,0.06306677413662443,0.05562,0.10696303416330027,0.12128395391127113
CIFAR-10-C,31,47,severity,glass_blur,0.3238,0.3347,True,True,3.937478387536527e-17,0.0348039365589584,0.13227866797031188,0.1193434371886448,0.09944000000000004,0.29162840771834164,0.34999936201687837
CIFAR-10-C,31,47,severity,motion_blur,0.3238,0.3347,True,True,3.61888430622384e-17,0.0048924431524546,0.06760698188796775,0.060421701399414426,0.05354000000000001,0.08097162177068411,0.09137921465174821
CIFAR-10-C,31,47,severity,zoom_blur,0.3238,0.3347,True,True,3.413484460715e-17,0.006229767250869,0.06316415122520053,0.05668895836051322,0.04946000000000002,0.10989383878339797,0.12595566621247467
CIFAR-10-C,31,47,severity,snow,0.3238,0.3347,True,True,2.0584085788909646e-17,0.0140244785999337,0.07370778791959505,0.06559594499662309,0.05800000000000001,0.21380099944677505,0.24180135517127066
CIFAR-10-C,31,47,severity,frost,0.3238,0.3347,True,True,3.056265732929337e-17,0.0088038627885718,0.0735859497458584,0.06606287913798488,0.059519999999999997,0.1332648970715197,0.14791436136713376
CIFAR-10-C,31,47,severity,fog,0.3238,0.3347,True,True,3.7367087251761353e-17,0.0055674051406377,0.09378593711212788,0.08395777510153543,0.07792000000000002,0.06631196615089771,0.07145027131208546
CIFAR-10-C,31,47,severity,brightness,0.3238,0.3347,True,False,3.025588499270114e-17,0.0025278449319529,0.032223190406910365,0.02859356570978863,0.022240000000000003,0.08840607560488777,0.11366209226406922
CIFAR-10-C,31,47,severity,contrast,0.3238,0.3347,True,True,5.559781974809367e-17,0.0085054100430255,0.12369125272225194,0.11090616754716574,0.09830000000000001,0.07669014475149322,0.08652502587004576
CIFAR-10-C,31,47,severity,elastic_transform,0.3238,0.3347,True,False,1.642041997679149e-17,0.0135235350408094,0.051099080226555946,0.044965142054707224,0.03188,0.3007559728012396,0.42420122461760984
CIFAR-10-C,31,47,severity,pixelate,0.3238,0.3347,True,True,3.825842074281555e-17,0.026536390108679,0.06307065878837799,0.056628738287198326,0.04906000000000001,0.46860288453006027,0.5408966593697307
CIFAR-10-C,31,47,severity,jpeg_compression,0.3238,0.3347,True,False,7.601177430610146e-18,0.0058482476007775,0.01672584825950541,0.014523291637917355,0.013660000000000005,0.4026805869207306,0.42812939976409203
CIFAR-10-C,47,61,severity,gaussian_noise,0.3347,0.3349,True,True,2.104670727712685e-17,0.036707710361721,0.09309731467663288,0.08385194094354645,0.07332000000000001,0.43776816551491116,0.5006507141533142
CIFAR-10-C,47,61,severity,shot_noise,0.3347,0.3349,True,True,3.3565890684838566e-17,0.0343944763007085,0.08418315746038514,0.0760207340138202,0.06788000000000001,0.4524354670721247,0.5066952902284693
