C,threshold,timely_rate,false_rate,median_lead,timely,false,cliffs,controls
0.03,0.7725965749778513,0.5652173913043478,0.07407407407407407,5.0,39,6,69,81
0.1,0.8933197238432217,0.4782608695652174,0.07407407407407407,5.0,33,6,69,81
0.3,0.9532155391580813,0.42028985507246375,0.07407407407407407,5.0,29,6,69,81
1.0,0.9784044845117378,0.37681159420289856,0.07407407407407407,4.5,26,6,69,81
3.0,0.9845767736150556,0.37681159420289856,0.07407407407407407,4.5,26,6,69,81
