C,threshold,timely_rate,false_rate,median_lead,timely,false,cliffs,controls
0.03,0.7826691231211684,0.6376811594202898,0.07407407407407407,5.0,44,6,69,81
0.1,0.879062167154385,0.6231884057971014,0.07407407407407407,4.0,43,6,69,81
0.3,0.9392853213398643,0.5362318840579711,0.07407407407407407,3.0,37,6,69,81
1.0,0.9664298985993737,0.4057971014492754,0.07407407407407407,3.0,28,6,69,81
3.0,0.975966471340746,0.4057971014492754,0.07407407407407407,3.0,28,6,69,81
