domain,subset,n,self_rmse_mean,peer_rmse_mean,peer_rmse_median,incorrect_rmse_mean,incorrect_rmse_median,focal_delta_rms_mean,focal_delta_rms_median,peer_nrmse_rms_median,peer_rmse_over_mae_median,baseline_risk_gap_median
CIFAR-10-C,all,45,3.091461512287181e-17,0.015388774417622715,0.0097109216864312,0.07486959875008017,0.06980830896103986,0.06687008959537019,0.06306677413662443,0.16521341462205416,0.188196156713783,0.00019999999999997797
CIFAR-10-C,active,45,3.091461512287181e-17,0.015388774417622715,0.0097109216864312,0.07486959875008017,0.06980830896103986,0.06687008959537019,0.06306677413662443,0.16521341462205416,0.188196156713783,0.00019999999999997797
CIFAR-10-C,cliff,35,3.420115116103245e-17,0.017376937805742964,0.0121472630662219,0.08710687476658628,0.08418315746038514,0.077909790059619,0.0760207340138202,0.16411326329294318,0.17973283122573366,0.00019999999999997797
CURE-OR,all,150,0.0,0.02503035842754599,0.0244948974278317,,,0.03546628395565918,0.02707312966018642,0.8579691784155826,1.105541596785133,0.020000000000000018
CURE-OR,active,135,0.0,0.02750176561946947,0.0264575131106459,,,0.039406982172954644,0.03872983346207416,0.8579691784155826,1.105541596785133,0.020000000000000018
CURE-OR,cliff,72,0.0,0.03433356335623183,0.03291305557033145,,,0.05792708750159847,0.05802013961810173,0.7071067811865468,0.7822307337452078,0.020000000000000018
