C,threshold,timely_rate,false_rate,median_lead,timely,false,cliffs,controls
0.03,0.7642310477460522,0.42028985507246375,0.07407407407407407,6.0,29,6,69,81
0.1,0.8984922164449002,0.37681159420289856,0.07407407407407407,5.5,26,6,69,81
0.3,0.9595713906696703,0.36231884057971014,0.07407407407407407,5.0,25,6,69,81
1.0,0.9804324307191076,0.34782608695652173,0.07407407407407407,4.5,24,6,69,81
3.0,0.9857587230730303,0.34782608695652173,0.07407407407407407,4.5,24,6,69,81
