domain,subset,n,self_rmse_max,peer_rmse_mean,peer_rmse_median,peer_rmse_min,peer_rmse_max,baseline_risk_gap_median
CIFAR-10-C,all,45,5.985173094038517e-17,0.015388774417622752,0.009710921686431203,0.002527844931952902,0.04637298782696671,0.00019999999999997797
CIFAR-10-C,active,45,5.985173094038517e-17,0.015388774417622752,0.009710921686431203,0.002527844931952902,0.04637298782696671,0.00019999999999997797
CIFAR-10-C,cliff,35,5.985173094038517e-17,0.01737693780574301,0.012147263066221978,0.004892443152454618,0.04637298782696671,0.00019999999999997797
CURE-OR,all,150,0.0,0.025030358427546032,0.02449489742783178,0.0,0.06164414002968979,0.020000000000000018
CURE-OR,active,135,0.0,0.027501765619469515,0.026457513110645918,0.0057735026918962545,0.06164414002968979,0.020000000000000018
CURE-OR,cliff,72,0.0,0.03433356335623188,0.03291305557033153,0.012909944487358039,0.06164414002968979,0.020000000000000018
