domain,focal_seed,peer_seed,schedule,family,focal_baseline_risk,peer_baseline_risk,active,cliff,self_rmse,peer_rmse
CURE-OR,139,163,223,17,0.22,0.26,True,True,0.0,0.0374165738677394
CURE-OR,139,163,223,18,0.22,0.26,True,True,0.0,0.02449489742783177
CURE-OR,139,163,227,2,0.16,0.18,True,False,0.0,0.008164965809277263
CURE-OR,139,163,227,6,0.16,0.18,True,False,0.0,0.024494897427831785
CURE-OR,139,163,227,11,0.22,0.26,True,False,0.0,0.008164965809277256
CURE-OR,139,163,227,12,0.22,0.26,True,False,0.0,0.02309401076758504
CURE-OR,139,163,227,13,0.22,0.26,True,True,0.0,0.05446711546122731
CURE-OR,139,163,227,14,0.22,0.26,True,True,0.0,0.018257418583505537
CURE-OR,139,163,227,15,0.22,0.26,True,False,0.0,0.026457513110645904
CURE-OR,139,163,227,16,0.22,0.26,True,True,0.0,0.03464101615137755
CURE-OR,139,163,227,17,0.22,0.26,True,True,0.0,0.03829708431025353
CURE-OR,139,163,227,18,0.22,0.26,True,True,0.0,0.035590260840104374
CURE-OR,151,139,211,2,0.12,0.16,True,False,0.0,0.009999999999999997
CURE-OR,151,139,211,6,0.12,0.16,True,False,0.0,0.012909944487358058
CURE-OR,151,113,211,11,0.28,0.3,False,False,0.0,0.0
CURE-OR,151,113,211,12,0.28,0.3,True,False,0.0,0.020000000000000004
CURE-OR,151,113,211,13,0.28,0.3,True,True,0.0,0.034156502553198666
CURE-OR,151,113,211,14,0.28,0.3,True,True,0.0,0.021602468994692866
CURE-OR,151,113,211,15,0.28,0.3,True,False,0.0,0.02768874620972691
CURE-OR,151,113,211,16,0.28,0.3,True,True,0.0,0.028284271247461894
CURE-OR,151,113,211,17,0.28,0.3,True,True,0.0,0.03214550253664319
CURE-OR,151,113,211,18,0.28,0.3,True,True,0.0,0.04898979485566358
CURE-OR,151,139,223,2,0.12,0.16,True,False,0.0,0.010000000000000002
CURE-OR,151,139,223,6,0.12,0.16,True,False,0.0,0.01290994448735806
CURE-OR,151,113,223,11,0.28,0.3,False,False,0.0,0.0
CURE-OR,151,113,223,12,0.28,0.3,True,False,0.0,0.023094010767585042
CURE-OR,151,113,223,13,0.28,0.3,True,True,0.0,0.03316624790355399
CURE-OR,151,113,223,14,0.28,0.3,True,True,0.0,0.023094010767585025
CURE-OR,151,113,223,15,0.28,0.3,True,False,0.0,0.03511884584284245
CURE-OR,151,113,223,16,0.28,0.3,True,True,0.0,0.03265986323710906
CURE-OR,151,113,223,17,0.28,0.3,True,True,0.0,0.04358898943540674
CURE-OR,151,113,223,18,0.28,0.3,True,True,0.0,0.06164414002968979
CURE-OR,151,139,227,2,0.12,0.16,True,False,0.0,0.010000000000000002
CURE-OR,151,139,227,6,0.12,0.16,True,False,0.0,0.012909944487358056
CURE-OR,151,113,227,11,0.28,0.3,False,False,0.0,0.0
CURE-OR,151,113,227,12,0.28,0.3,True,False,0.0,0.02
CURE-OR,151,113,227,13,0.28,0.3,True,True,0.0,0.03000000000000001
CURE-OR,151,113,227,14,0.28,0.3,True,True,0.0,0.01999999999999998
CURE-OR,151,113,227,15,0.28,0.3,True,False,0.0,0.03316624790355399
CURE-OR,151,113,227,16,0.28,0.3,True,True,0.0,0.0282842712474619
CURE-OR,151,113,227,17,0.28,0.3,True,True,0.0,0.047258156262526094
CURE-OR,151,113,227,18,0.28,0.3,True,True,0.0,0.054772255750516634
CURE-OR,163,139,211,2,0.18,0.16,False,False,0.0,0.008164965809277261
CURE-OR,163,139,211,6,0.18,0.16,True,False,0.0,0.011547005383792512
CURE-OR,163,151,211,11,0.26,0.28,False,False,0.0,0.0
CURE-OR,163,151,211,12,0.26,0.28,True,False,0.0,0.01825741858350554
CURE-OR,163,151,211,13,0.26,0.28,True,True,0.0,0.0412310562561766
CURE-OR,163,151,211,14,0.26,0.28,True,True,0.0,0.012909944487358039
CURE-OR,163,151,211,15,0.26,0.28,True,False,0.0,0.02081665999466133
CURE-OR,163,151,211,16,0.26,0.28,True,True,0.0,0.041231056256176596
CURE-OR,163,151,211,17,0.26,0.28,True,True,0.0,0.033166247903554005
CURE-OR,163,151,211,18,0.26,0.28,True,True,0.0,0.029439202887759496
CURE-OR,163,139,223,2,0.18,0.16,False,False,0.0,0.008164965809277261
CURE-OR,163,139,223,6,0.18,0.16,True,False,0.0,0.018257418583505533
CURE-OR,163,151,223,11,0.26,0.28,False,False,0.0,0.0
