method,type,threshold,cal_timely_rate,cal_false_rate,cal_median_lead,cal_timely,cal_false,cal_cliffs,cal_controls,conf_timely_rate,conf_false_rate,conf_median_lead,conf_timely,conf_false,conf_cliffs,conf_controls,risk_ridge_alpha,delta_timely_vs_static,delta_false_vs_static
Static current telemetry (refit),refit,0.5076338734394464,0.8840579710144928,0.074074074074074,5.0,61,6,69,81,0.8611111111111112,0.0384615384615384,3.0,62,3,72,78,,0,0
Static current + net departure-recovery (refit),refit,0.6488271586722439,0.855072463768116,0.074074074074074,5.0,59,6,69,81,0.9861111111111112,0.0384615384615384,3.0,71,3,72,78,,9,0
Static current + persistent departure (refit),refit,0.5149475854899722,0.8840579710144928,0.074074074074074,5.0,61,6,69,81,0.8611111111111112,0.0384615384615384,3.0,62,3,72,78,,0,0
Current active-state telemetry (refit),refit,0.6522391565956982,0.855072463768116,0.074074074074074,5.0,59,6,69,81,0.9722222222222222,0.0384615384615384,3.0,70,3,72,78,,8,0
